City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,hammerfest,70.66,23.68,273.15,84,20,8.7,NO,273.15
91,lagoa,39.05,-27.98,290.0,85,33,6.38,PT,290.0
92,changji,44.02,87.32,262.15,85,5,0.79,CN,262.15
93,tuktoyaktuk,69.45,-133.04,241.15,67,5,3.1,CA,241.15
94,tasiilaq,65.61,-37.64,266.15,79,90,15.4,GL,266.15
95,beaufort,5.35,115.75,299.15,88,75,3.1,MY,299.15
96,lompoc,34.64,-120.46,292.59,45,1,2.6,US,292.59
97,ngunguru,-35.62,174.5,288.71,96,0,2.68,NZ,288.71
98,la romana,18.43,-68.97,302.15,74,40,5.1,DO,302.15
99,mozarlandia,-14.74,-50.57,304.96,56,69,2.25,BR,304.96
100,egvekinot,66.32,-179.17,253.15,99,100,1.11,RU,253.15
101,jamestown,42.1,-79.24,276.15,78,1,6.2,US,276.15
102,springfield,37.22,-93.3,276.48,100,90,6.7,US,276.48
103,chagoda,59.16,35.33,272.92,93,94,3.37,RU,272.92
104,bathsheba,13.22,-59.52,303.15,58,40,11.3,BB,303.15
105,aklavik,68.22,-135.01,244.15,66,40,1.5,CA,244.15
106,santa rosa,14.31,121.11,298.15,78,20,2.6,PH,298.15
107,jilib,0.49,42.79,299.47,79,5,4.23,SO,299.47
108,srednekolymsk,67.45,153.68,241.91,59,67,2.73,RU,241.91
109,vaini,-21.2,-175.2,297.15,88,75,4.1,TO,297.15
110,flin flon,54.77,-101.86,249.15,47,40,5.7,CA,249.15
111,turukhansk,65.82,87.98,258.68,94,100,5.14,RU,258.68
112,high rock,26.62,-78.28,299.15,83,75,5.7,BS,299.15
113,rusera,25.75,86.03,286.25,62,1,2.89,IN,286.25
114,nanortalik,60.14,-45.24,264.95,51,21,6.03,GL,264.95
115,constitucion,-35.33,-72.42,291.82,62,62,8.24,CL,291.82
116,adrar,20.5,-10.07,301.53,21,0,4.26,MR,301.53
117,dwarka,22.24,68.97,297.54,64,0,5.38,IN,297.54
118,waingapu,-9.66,120.26,301.36,73,87,3.03,ID,301.36
119,luderitz,-26.65,15.16,291.0,93,5,1.71,NA,291.0
120,mayor pablo lagerenza,-19.93,-60.77,310.99,31,59,1.59,PY,310.99
121,swellendam,-34.02,20.44,294.15,83,0,5.1,ZA,294.15
122,coahuayana,18.73,-103.68,298.15,57,40,5.1,MX,298.15
123,tashla,51.77,52.74,262.41,78,91,1.39,RU,262.41
124,shelburne,44.08,-80.2,274.26,88,20,6.2,CA,274.26
